"ds","y"
2020-01-09 20:31:48,2.1
2020-01-09 20:23:17,2.61
2020-01-09 19:39:51,3.3
2020-01-09 19:20:35,2.75
2020-01-09 19:03:24,2.21
2020-01-09 18:46:30,2.48
2020-01-09 18:41:47,2.04
2020-01-09 18:34:01,1.9
2020-01-09 18:22:09,2.33
2020-01-09 18:09:47,2.2
2020-01-09 18:03:38,1.78
2020-01-09 17:23:03,2.16
2020-01-09 17:01:13,2.54
2020-01-09 16:40:19,2.61
2020-01-09 16:30:52,1.47
2020-01-09 16:27:48,2.91
2020-01-09 16:20:43,3.05
2020-01-09 16:16:11,2.3
2020-01-09 16:11:23,3.8
2020-01-09 16:03:44,1.86
2020-01-09 15:56:54,2.31
2020-01-09 15:55:19,2.18
2020-01-09 15:51:03,2.92
2020-01-09 15:43:46,2.57
2020-01-09 15:26:45,2.61
2020-01-09 15:02:53,2.81
2020-01-09 14:41:17,2.48
2020-01-09 14:37:06,2.78
2020-01-09 14:28:52,2.75
2020-01-09 14:18:19,2.45
2020-01-09 14:10:59,2.39
2020-01-09 14:06:24,3.6
2020-01-09 13:58:23,2.23
2020-01-09 13:53:06,2.54
2020-01-09 13:49:38,2.29
2020-01-09 13:45:46,2.29
2020-01-09 13:27:30,2.29
2020-01-09 13:20:58,3.02
2020-01-09 13:10:40,2.43
2020-01-09 12:52:35,2.19
2020-01-09 12:46:17,2.57
2020-01-09 12:39:44,2.44
2020-01-09 12:13:25,2.99
2020-01-09 12:01:29,2.45
2020-01-09 11:49:57,2.48
2020-01-09 11:43:58,3.01
2020-01-09 11:00:45,2.5
2020-01-09 10:54:59,2.4
2020-01-09 10:44:23,2.98
2020-01-09 10:36:34,2.79
2020-01-09 10:27:31,2.68
2020-01-09 10:09:48,2.29
2020-01-09 09:46:35,2.31
